row_index,source,year,dat_score,between_unit_posaware,uniqueness_human_agnostic,in_reference_pool
453,olson_pnas2021,2022,83.336327,81.781455,,1
454,olson_pnas2021,2022,74.977364,78.885026,78.971906,0
455,olson_pnas2021,2022,84.356598,81.364900,,1
456,olson_pnas2021,2022,73.778824,77.235030,77.349441,0
457,olson_pnas2021,2022,80.272850,80.414258,80.383835,0
458,olson_pnas2021,2022,75.435677,80.007471,,1
459,olson_pnas2021,2022,76.555878,78.516130,78.290295,0
460,olson_pnas2021,2022,79.267029,80.924699,82.399387,0
461,olson_pnas2021,2022,77.989990,77.215328,,1
462,olson_pnas2021,2022,83.697006,82.349671,,1
463,olson_pnas2021,2022,64.388725,75.036987,,1
464,olson_pnas2021,2022,75.830223,77.011656,,1
465,olson_pnas2021,2022,72.179970,77.409393,77.109283,0
466,olson_pnas2021,2022,81.830215,81.689180,81.071820,0
467,olson_pnas2021,2022,73.965179,77.456290,,1
468,olson_pnas2021,2022,74.689232,79.239037,79.081905,0
469,olson_pnas2021,2022,66.056023,78.046176,,1
470,olson_pnas2021,2022,81.818497,79.110772,80.666322,0
471,olson_pnas2021,2022,85.780815,83.373397,83.391180,0
472,olson_pnas2021,2022,76.988968,78.289127,78.325609,0
473,olson_pnas2021,2022,70.882378,77.138155,,1
474,olson_pnas2021,2022,83.679100,80.283273,,1
475,olson_pnas2021,2022,83.121887,84.870131,,1
